Datum	Event_Name	Venue
2023-01-18	19h30 der bloede dritte mittwoch #124	ateliertheater
2023-01-19	KNH-Open House Special: Hayfitz + Sarah Walk	cafe max
2023-01-19	"""on the couch"":  dieb13, Gross, Eberhard"	studio eberhard
2023-01-19	Die Scham. R: Ed Hauswirth  M: KMET	volkstheater
2023-01-20	Duo Boris Hauf / Martin Siewert	alte schmiede
2023-01-23	monday improvisers session	celeste
2023-01-26	KNH-Open House Special: Mister Montelli	cafe max
2023-01-28	Kastenkonzert #39	modul
2023-01-29	Die Scham. R: Ed Hauswirth  M: KMET	volkstheater
2023-01-30	monday improvisers session	celeste
2023-01-31	[screening] focus on: borders	breitenseer lichtspiele
2023-01-31	Die Scham. R: Ed Hauswirth  M: KMET	volkstheater
2023-02-06	monday improvisers session	celeste
2023-02-07	otherMother | Konzert | presented by Signs...	cafe max
2023-02-08	Die Scham. R: Ed Hauswirth  M: KMET	volkstheater
2023-02-12	Die Scham. R: Ed Hauswirth  M: KMET	volkstheater
2023-02-13	monday improvisers session	celeste
2023-02-15	19h30 der bloede dritte mittwoch #125	ateliertheater
2023-02-16	on the couch #79 - Nico Couck & Thomas R. ...	studio eberhard
2023-02-16	FMF: Silvia Tarozzi & Deobrah Walker	celeste
2023-02-20	monday improvisers session	celeste
2023-02-24	smallforms	chateau rouge
2023-02-27	monday improvisers session	celeste
2023-03-02	on the couch #80 - chesterfield (castello/...	studio eberhard
2023-03-02	FMF: Susana Santos Silva & Christof Kurzmann	celeste
2023-03-02	KNH-Tiny Gallery #13 | Elio Nikos Seidl | ...	cafe max
2023-03-03	Klement / Profanter / Wong	echoraum
2023-03-07	Homo Digitalis | Digitale Ökologie | Disk...	cafe max
2023-03-08	ACOUSMONIUM 2023 International festival of...	echoraum
2023-03-09	KNH-Open House | Workshop | Buchbinden	cafe max
2023-03-09	ACOUSMONIUM 2023 International festival of...	echoraum
2023-03-10	ACOUSMONIUM 2023 International festival of...	echoraum
2023-03-13	Alexander J. Eberhard/Rafal Zalech	strenge kammer / porgy & bess
2023-03-13	monday improvisers session	celeste
2023-03-15	19h30 der bloede dritte mittwoch #126	echoraum
2023-03-16	FMF: MRM Trio	celeste
2023-03-16	KNH-Open House | Workshop | Kräuterschmau...	cafe max
2023-03-19	Thomas Lehn & Dieb13	ruprechtskirche
2023-03-20	monday improvisers session	celeste
2023-03-21	charhizma presents: Catalytic Sounds: Chri...	porgy&bess
2023-03-23	KNH-Open House | Färber:innenworkshop mit...	cafe max
2023-03-23	Schnitzel ’22	echoraum
2023-03-24	smallforms	chateau rouge
2023-03-24	Gehaeuse Eau - O	setzkasten wien
2023-03-25	Gehaeuse Eau - O	setzkasten wien
2023-03-25	DRY THRUST___Graewe / Siewert / Kern	porgy&bess
2023-03-25	finissage letizia werth/stefan geissler (s...	xian
2023-03-26	velak #124	chateau rouge
2023-03-26	Gehaeuse Eau - O	setzkasten wien
2023-03-27	monday improvisers session	celeste
2023-03-28	Jan Machacek: blind spot light	wuk
2023-03-29	Jan Machacek: blind spot light	wuk
2023-03-29	vis-à-vis klaus filip  & vinzenz schwab	alte schmiede
2023-03-30	Jan Machacek: blind spot light	wuk
2023-03-30	KNH-Open House | Workshop | Kleiderwiederb...	cafe max
2023-03-31	Jan Machacek: blind spot light	wuk
2023-04-03	monday improvisers session	celeste
2023-04-06	FMF: Trio John Butcher / dieb13 / Flo Stof...	celeste
2023-04-06	beauchamp*geissler / kristina warren	central garden
2023-04-10	monday improvisers session	celeste
2023-04-13	KNH-Open House | Konzert |  Lichte Raum	cafe max
2023-04-15	The piano in our lives, ein Dialog	reaktor
2023-04-17	monday improvisers session	celeste
2023-04-18	19h30 der bloede dritte mittwoch #126 rest...	echoraeume
2023-04-19	20h30 der bloede dritte mittwoch #127	flucc
2023-04-20	KNH-Open House | Malen mit Pflanzenfarben ...	cafe max
2023-04-20	velak gala #125	chateau rouge
2023-04-20	FMF: Szilárd Mezei Quartet (RS)	celeste
2023-04-21	Kastenkonzert #40	modul
2023-04-21	duo Schmoliner/Guionnet - duo Klement/Siewert	echoraum
2023-04-22	Vienna Klezmer Session + Workshop mit Zoë...	kulturcafe max
2023-04-23	Doubleconcert – Stéphane Clor  / Werner...	ruprechtskirche
2023-04-24	monday improvisers session	celeste
2023-04-25	moozak multichannel series #03 / Elak Conc...	klangtheater
2023-04-26	Milla/Cajado/Takara · Cossio/Myburgh	echoraum
2023-04-27	KNH-Open House | Multimedia | Bari Comics	cafe max
2023-04-27	on the couch #81 - strings&noise	studio eberhard
2023-04-28	smallforms	chateau rouge
2023-04-29	KNH-Shorts #13 | Junges Kino	cafe max
2023-05-01	monday improvisers session	celeste
2023-05-02	Castello/Voutchkova & XIPE	echoraum
