Datum,Venue,Event_Name,Event_Typ,Bezirk,Kuenstler:innen,Veranstalter,Verein,Foerderung_ref,Quelle,Programm
2022-04-15,Akademie der Bildenden Künste Wien,Cauliflower Sound Festival - Tag 3,Festival,6,Rdeca Raketa | Patrick K-H | Paul Gründorfer | Eduardo Triviño Cely | Milena Georgieva,Cauliflower Power Sound Festival,The Acousmatic Project - Verein zur Förderung Akusmatischer Musik,BMKöS,https://klingt.org/gro.tgnilk/events/12871/index.html?sid=14298401013344652,Cauliflower Sound Festival
2022-04-18,Celeste,Monday Improvisers Session,Konzertreihe,6,Susanna Gartmayer | Philipp Kienberger | Patrick Lechner | Niki Dolp,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7,https://klingt.org/gro.tgnilk/events/12797/index.html?sid=14298401013344652,Monday Improvisers Session
2022-04-20,Künstlerhaus,Der Blöde Dritte Mittwoch #117,Konzertreihe,1,Lan Sticker | Robert Prosser | The New Constellation | NicoNote | WANG Inc.,Der Blöde Dritte Mittwoch,Verein für Kunstvermischung,BMKöS,https://klingt.org/gro.tgnilk/events/12870/index.html?sid=14298401013344652,Der Blöde Dritte Mittwoch
2022-04-21,Celeste,FMF presents - Jasna Jovićević & Annette Giesriegl,Konzertreihe,6,Jasna Jovićević | Annette Giesriegl | Didi Kern,Free Music Forum,Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12888/index.html?sid=14298401013344652,FMF presents
2022-04-22,Studio Eberhard,On the Couch #66 - Eberhard-Gross-Owczarek,Konzertreihe,3,Paulina Owczarek | Igor Gross | Alexander J. Eberhard,Studio Eberhard,On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12899/index.html?sid=14298401013344652,On the Couch
2022-04-24,St. Ruprecht,Antonietta Loffredo - Toy Piano,Konzert,1,Antonietta Loffredo,Neue Musik St. Ruprecht,Verein zur Förderung der Neuen Musik im Kirchenraum,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12647/index.html?sid=14298401013344652,Antonietta Loffredo
2022-04-24,Kulturcafé Max,KNH-Sonntagskind24 - Gruber,Konzertreihe,2,Gruber,Kulturnetz Hernals,SHIZZLE - Kunst- und Kulturverein,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12803/index.html?sid=14298401013344652,KNH-Sonntagskind24
2022-04-25,Celeste,Monday Improvisers Session,Konzertreihe,6,Didi Kern,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7,https://klingt.org/gro.tgnilk/events/12800/index.html?sid=14298401013344652,Monday Improvisers Session
2022-04-25,Kulturcafé Max,KNH-Darkroom9,Konzert,2,Helmut Jasbar | Matthias Schinnerl,Kulturnetz Hernals,SHIZZLE - Kunst- und Kulturverein,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12805/index.html?sid=14298401013344652,
2022-04-29,Alte Schmiede,Bertoncini - Gnigler - Lebrat,Konzert,1,Tiziana Bertoncini | Jakob Gnigler | Soizic Lebrat,Alte Schmiede,KUNSTVEREIN WIEN,MA7,https://klingt.org/gro.tgnilk/events/12914/index.html?sid=14298401013344652,Bertoncini
2022-04-30,FLUCC,Stefan Geissler Trio - 20 Jahre Fluc,Konzert,2,Stefan Geissler | Katharina Klein | Philipp Wesener,flucc,Verein Kulturzentrum FLUCC,MA7,https://klingt.org/gro.tgnilk/events/12910/index.html?sid=14298401013344652,Stefan Geissler Trio
2022-04-30,echoraum,Salongarnison7 - Judith Unterpertinger,Konzertreihe,15,Judith Unterpertinger,echoraum,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12925/index.html?sid=14298401013344652,Salongarnison7
2022-04-30,Sargfabrik,JSB Trio,Konzert,14,Jürgen Berlakovich | Stefan Voglsinger,Sargfabrik,Verein für Integrative Lebensgestaltung,MA7 | BMKöS | SKE | Bezirk Penzing (14. Bezirk) | AKM,https://klingt.org/gro.tgnilk/events/12926/index.html?sid=14298401013344652,
2022-05-01,St. Ruprecht,AiR - Artists in Residence - Duo Ar,Konzert,1,[nicht dokumentiert],Neue Musik St. Ruprecht,KUNSTVEREIN WIEN,MA7,https://klingt.org/gro.tgnilk/events/12648/index.html?sid=14298401013344652,AiR
2022-05-01,Anitta-Müller-Cohen-Platz,TONSPUR festival - Streamers —Castelló - Stangl - Fennesz - Kutin,Festival,2,Angelica Castello | Burkhard Stangl | Peter Kutin | Christian Fennesz,TONSPUR,TONSPUR Kunstverein Wien,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12849/index.html?sid=14298401013344652,TONSPUR festival
2022-05-02,Celeste,Monday Improvisers Session,Konzertreihe,6,Susanna Gartmayer | Florent Dupuit | Jake Mann,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12890/index.html?sid=14298401013344652,Monday Improvisers Session
2022-05-03,echoraum,XX Y X - soundsongnoisesilence,Konzert | Screening,15,Karø Goldt | Annja Krautgasser | Tatiana Lecomte | Michaela Schwentner | Yasmina Haddad | Andrea Lumplecker,echoraum,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12932/index.html?sid=14298401013344652,XX Y X
2022-05-05,Celeste,FMF presents - obdo - Blondy & Lehn,Konzertreihe,6,Frédéric Blondy | Thomas Lehn | Martin Siewert,Free Music Forum,Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12889/index.html?sid=14298401013344652,FMF presents
2022-05-06,Salon Garnison,Katharina Klement solo - Spiegel,Konzert,17,Katharina Klement,Salon Garnison,[nicht dokumentiert],[nicht dokumentiert],https://klingt.org/gro.tgnilk/events/12927/index.html?sid=14298401013344652,Katharina Klement solo
2022-05-08,Porgy & Bess Jazz& Music Club,Elisabeth Harnik Earscratcher,Konzert,1,Elisabeth Harnik | Dave Rempis | Fred Lonberg-Holm | Tim Daisy,charhizma,Jazz & Musicclub Porgy & Bess,MA7,https://klingt.org/gro.tgnilk/events/12814/index.html?sid=14298401013344652,Porgy & Bess
2022-05-09,Celeste,Monday Improvisers Session,Konzertreihe,6,Didi Kern | Tahereh Nourani | Yoram Rosilio,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12891/index.html?sid=14298401013344652,Monday Improvisers Session
2022-05-10,Instituto Cervantes Wien,SUENA Festival - Ensemble N,Festival,1,Audrey G. Perreault | Anna Koch | Luca Lavuri | Jon Svinghammar,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12956/index.html?sid=14298401013344652,SUENA Festival
2022-05-11,Instituto Cervantes Wien,SUENA Festival - andother stage Ensemble,Festival,1,Alfredo Ovalles | Jorge Sánchez-Chiong | Samuel Toro Pérez | Brigitte Wilfing,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12957/index.html?sid=14298401013344652,SUENA Festival
2022-05-12,Replugged,Rhys Chatham - David Fenech - Martin Siewert - Christian Reiner,Konzert,7,Rhys Chatham | David Fenech | Martin Siewert | Christian Reiner,Replugged,[nicht dokumentiert],[nicht dokumentiert],https://klingt.org/gro.tgnilk/events/12833/index.html?sid=14298401013344652,Rhys Chatham
2022-05-12,Instituto Cervantes Wien,SUENA Festival - Vertixe Sonora Ensemble,Festival,1,Angelica Castello | Clara Saleiro | Carlos Cordeiro | Pablo Coello,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12958/index.html?sid=14298401013344652,SUENA Festival
2022-05-13,Ateliertheater,VELAK Gala #119,Konzertreihe,7,Conny Frischauf | Marcin Morga | Janneke van der Putten,velak,Verein für elektroakustische Musik; Kurztitel VELAK,Kurztitel VELAK,MA7 | BMKöS,VELAK Gala
2022-10-08,Celeste,Eric Arn - Eyal Maoz Album Release,Konzert,6,Eric Arn | Eyal Maoz | Lukas Ligeti | Yedda Chunyu Lin,Psychic Vienna,[nicht dokumentiert],[nicht dokumentiert],https://klingt.org/gro.tgnilk/events/13220/,Eric Arn
2022-10-11,echoraum,Nachhall #3 - Noetinger & Vrba,Konzert,15,Jérôme Noetinger | Peter Vrba,echoraum,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/13158/,Nachhall #3
2022-10-21,Klangtheater MDW,Moozak Multichannel Series #02 - ELAK Concerts #05,Konzert | Installation,3,Sara Pinheiro | Robert Schwarz | Veronika Mayer | Tasos Stamou,moozak,MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/13275/,Moozak Multichannel Series #02
2022-10-22,Château Rouge,Smallforms,Konzert,8,Nicholas Hoffman | Katrin Plavčak | Katrin Euller | Christian Schröder | Charlotte Jefferies,smallforms,small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/13297/,Smallforms
2022-11-11,REAKTOR,BRAUCHEN - Wien Modern Premiere,Konzert | Performance,17,ensemble]h[iatus | Géraldine Keller | Isabelle Duthoit | Tiziana Bertoncini | Thomas Lehn,Konnektom,"Wien Modern, Verein für neue Musik",MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/13331/,BRAUCHEN
2022-09-23,Zacherlfabrik,Unsafe+Sounds 2022 - Tainted Futures Day 1,Festival,19,Haskii | Inou Ki Endo | Rent | Stine Janvin | SØS Gunver Ryberg,Unsafe+Sounds,Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik interdisziplinärer Kunstformate und Diskurs,MA7 | SKE,https://ntry.at/unsafeandsoundsfestival2022,Unsafe+Sounds
2022-09-23,Das WERK,Unsafe+Sounds 2022 - Tainted Futures Night 1,Festival,9,Christia Ingemann | Ebhardy | Elin | Flower Crime | Kim Leclerc | Rrose | UFO95,Unsafe+Sounds,Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik interdisziplinärer Kunstformate und Diskurs,MA7 | SKE,https://ntry.at/unsafeandsoundsfestival2022,Unsafe+Sounds
2022-09-24,Das WERK,Unsafe+Sounds 2022 - Tainted Futures Night 2,Festival,9,Amblio | Anthea | Kenji Araki | Astrid Gnosis | Bootlicker | DJ Diamond | In My Talons | Sentimental Rave | Vich Mind,Unsafe+Sounds,Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik interdisziplinärer Kunstformate und Diskurs,MA7 | SKE,https://ntry.at/unsafeandsoundsfestival2022,Unsafe+Sounds
