Datum,Venue,Event_Name,Event_Typ,Bezirk,Kuenstler:innen,Veranstalter,Verein,Foerderung_ref,Quelle,Programm
2022-01-09,Porgy & Bess Jazz& Music Club,Jazzwerkstatt Wien – Die Strottern & Jazzwerkstatt,Konzert,1,Klemens Lendl | David Müller | Clemens Salesny | Martin Eberle | Martin Ptak | Peter Rom | Clemens Wenger | Bernd Satzinger | Lukas König,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE | AKM | Bezirk Alsergrund (9. Berzik),https://porgy.at/events/10722/,JazzWerkstatt Wien
2022-09-17,Porgy & Bess Jazz& Music Club,Jazzwerkstatt Wien – Festival 2022,Festival,1,[nicht dokumentiert],JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE | AKM | Bezirk Alsergrund (9. Berzik),http://jazzwerkstatt.at/en/,JazzWerkstatt Wien
2023-01-07,Porgy & Bess Jazz& Music Club,Jazzwerkstatt Wien – Die Strottern & Jazzwerkstatt,Konzert,1,Klemens Lendl | David Müller | Clemens Salesny | Martin Eberle | Martin Ptak | Peter Rom | Clemens Wenger | Bernd Satzinger | Lukas König,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE | AKM | Bezirk Alsergrund (9. Berzik),https://www.porgy.at/events/11132/,JazzWerkstatt Wien
2024-01-06,Porgy & Bess Jazz& Music Club,Jazzwerkstatt Wien – Die Strottern (20 Jahre),Konzert,1,Klemens Lendl | David Müller | Clemens Salesny | Martin Eberle | Martin Ptak | Peter Rom | Clemens Wenger | Bernd Satzinger | Lukas König,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE | AKM | Bezirk Alsergrund (9. Berzik),https://www.porgy.at/events/11654/,JazzWerkstatt Wien
2024-03-10,Porgy & Bess Jazz& Music Club,Jazzwerkstatt Wien – 10 Acts à 10 Min,Konzert,1,Zsófia Boros | Astrid Wiesinger | Beate Wiesinger | Willi Landl | Max Gaier | Terrea,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE | AKM | Bezirk Alsergrund (9. Berzik),https://www.porgy.at/events/11875/,JazzWerkstatt Wien
2024-04-11,Porgy & Bess Jazz& Music Club,Jazzwerkstatt Wien – Embracing Shitstorm,Konzert | Performance,1,Kristin Gruber | Peter Rom | Clemens Wenger | Sixtus Preiss,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE | AKM | Bezirk Alsergrund (9. Berzik),http://jazzwerkstatt.at/en/,JazzWerkstatt Wien
2024-09-17,Porgy & Bess Jazz& Music Club,Jazzwerkstatt Wien – Festival 20° Aniversario,Festival,1,[nicht dokumentiert],JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE | AKM | Bezirk Alsergrund (9. Berzik),http://jazzwerkstatt.at/en/,JazzWerkstatt Wien
2024-12-30,Porgy & Bess Jazz& Music Club,Jazzwerkstatt Wien – Konzert Jahreswechsel,Konzert,1,[nicht dokumentiert],JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE | AKM | Bezirk Alsergrund (9. Berzik),http://jazzwerkstatt.at/en/,JazzWerkstatt Wien
2024-06-26,FLUCC,NAWA Festival 2024 – 2ª Edición,Festival,2,Pouya Ehsaei | Mona Matbou Riahi | Rojin Sharafi | Omid Darvish | Álvaro Callao León | Mehdi Chamma | Nikolaus Holler | Amir Wahba | Björn Meyer | Misagh Joolaee | Mahan Mirarab | Kiran Ahluwalia | Rez Abbasi | Tara Mehrad | NAWA Orchestra,Mahan Mirarab,FAM Kulturverein,MA7 | BMKöS | SKE | AKM,https://schalltaucherin.com,NAWA Festival
2024-05-09,Celeste,Free Music Forum – Castelló / Hübsch / Vrba,Konzert | Konzertreihe,6,Angélica Castelló (paetzold/tapes) | Carl Ludwig Hübsch (tuba/voz) | Petr Vrba (trompeta/electrónica),Free Music Forum,Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation,MA7 | BMKöS,https://freemusicforum.org/archive/,Free Music Forum
2024-06-18,WUK,Platzkonzerte 2024: Cilantro,Konzert | Open Air,9,Angélica Castelló (electronics/tapes) | Billy Roisz (bajo/electronics)  BRUTTO (Rania Moslam / Lisa Kortschak / Gregor Mahnert),WUK,"WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser, Kurzbezeichnung WUK Werkstätten- und Kulturhaus",MA7 | BMKöS,https://www.wuk.at/programm/platzkonzerte-2024-cilantro/,WUK
2023-11-26,IM SPITZER,klingt.collective 'Estos Patos Locos',Konzert,2,Martin Brandlmayr (drums) | Angélica Castelló (paetzold/tapes) | dieb13 (turntables) | Klaus Filip (sinewaves) | Susanna Gartmayer (clarinete bajo) | noid (violonchelo) | Billy Roisz (bajo/electronics) | Martin Siewert (guitarra/electronics) | Oliver Stotz (guitarra/electronics),Wien Modern,"Wien Modern, Verein für neue Musik",MA7 | BMKöS | SKE | AKM,https://castello.klingt.org/concerts,
2022-09-09,echoraum,Klangmanifeste 2022 – Tag IV,Festival | Klangkunst,15,Laura Mello | Saša Spačal | MS Mutt,Klangmanifeste,Klangmanifeste - Verein für Klang-/Kunst-/Formen,BMKöS | SKE | Rudolfsheim Fünfhaus (15. Bezirk),https://klangmanifeste.klingt.org/2022/echoraum.html,Klangmanifeste
2022-09-10,echoraum,Klangmanifeste 2022 – Tag V,Festival | Klangkunst,15,Gloria Amesbauer | Tahereh Nourani | Till Bovermann | Plectrum,Klangmanifeste,Klangmanifeste - Verein für Klang-/Kunst-/Formen,BMKöS | SKE | Rudolfsheim Fünfhaus (15. Bezirk),https://klangmanifeste.klingt.org/2022/echoraum.html,Klangmanifeste
2024-04-12,echoraum,Klangmanifeste 2024 – More than Networks (12.–19.04),Festival | Klangkunst,15,Klaus Erika Dietl | Mucho Pitchu | Stephanie Müller | Rundfunkorchestra | Ralf Schreiber | Pablo Torres Gómez | Thomas Grill | Ivar Roban Križić | Artemi-Maria Gioti | Peter Brandlmayr | Oliver Deutsch | Ulla Rauter | Stefan Voglsinger | Marina Poleukhina | Alexander Till | Thomas Nagl,Klangmanifeste,Klangmanifeste - Verein für Klang-/Kunst-/Formen,BMKöS | SKE | Rudolfsheim Fünfhaus (15. Bezirk),https://echoraum.at/klangmanifeste-2024-more-than-networks/,Klangmanifeste
2023-12-08,Theater am Werk / Kabelwerk,Jahresendzeitschokoladenhohlkörper 2023 – Tag 1,Festival | Kollektiv,2,Thomas Berghammer | Billy Roisz | Susanna Gartmayer | dieb13 | Didi Kern | Joan Laage | Christoph Punzmann | Florian Feit | Roy Culbertson | Lucas Henao Serna | Christine Gnigler | Maja Osojnik | Sara Zlanabitnig | Milena Georgieva | Eric Arn | Michael Fischer,XOK,XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene Wiens,MA7 | BMKöS | SKE,https://jahresendzeitschokoladenhohlkoerper.klingt.org/programm-2023/,Jahresendzeitschokoladenhohlkörper
2023-12-09,Theater am Werk / Kabelwerk,Jahresendzeitschokoladenhohlkörper 2023 – Tag 2,Festival | Kollektiv,2,Gloria Damijan | Gobi Drab | Klaus Haidl | Lis Kelvin | Meike Melinz | JUUN | Michael Zacherl | Veronika Mayer | C. Hausch | Isidora Edwards | Laura Pudelek | noid | Markus Liszt | David Pridal | Daphne von Schrader | Frederic Stritter | Fabian Lanzmaier | Gabriela Gordillo | Paul Gründorfer,XOK,XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene Wiens,MA7 | BMKöS | SKE,https://jahresendzeitschokoladenhohlkoerper.klingt.org/programm-2023/,Jahresendzeitschokoladenhohlkörper
2024-12-13,Theater am Werk / Kabelwerk,Jahresendzeitschokoladenhohlkörper 2024 – Tag 1,Festival | Kollektiv,2,Eric Arn | Gloria Damijan | Juun | Elisabeth Kelvin | Meike Melinz | Reni Weichselbaum | Jakob Schauer | noid | Michael Fischer | Daniel Lercher | Roy Culbertson | Lucas Henao Serna | Laura Pudelek | Gobi Drab | Klaus Haidl | Fabian Lanzmaier | Frederic Stritter | Paul Gründorfer | Gabriela Gordillo | Philip Leitner | Saleh Rozati | Eduardo Triviño Cely,XOK,XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene Wiens,MA7 | BMKöS | SKE,https://jahresendzeitschokoladenhohlkoerper.klingt.org/programm-2024/,Jahresendzeitschokoladenhohlkörper
2024-12-14,Theater am Werk / Kabelwerk,Jahresendzeitschokoladenhohlkörper 2024 – Tag 2,Festival | Kollektiv,2,Angélica Castelló | Christine Gnigler | Maja Osojnik | Matija Schellander | Sara Zlanabitnig | Thomas Berghammer | Susanna Gartmayer | Adele Knall | Didi Kern | Alexander J. Eberhard | Katharina Klement | Michael Zacherl | Ulla Rauter | Veronika Mayer | Stefan Voglsinger | Benjamin Tomasi | C. Leli Hausch | Daphne von Schrader | David Pridal | Je. Jesch | Markus Liszt | Sandro Nicolussi,XOK,XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene Wiens,MA7 | BMKöS | SKE,https://jahresendzeitschokoladenhohlkoerper.klingt.org/programm-2024/,Jahresendzeitschokoladenhohlkörper
2023-03-31,Pratersauna,Struma+Iodine mit Hieroglyphic Being Mama Snake Tin Man Altroy & Quehenberger,Clubnacht,2,Hieroglyphic Being | Mama Snake | Tin Man | Altroy | Quehenberger,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS,https//skug.at/e/strumaiodine-mit-hieroglyphic-being-mama-snake-tin-man-altroy-quehenberger/,Struma+Iodine
2023-04-01,Pratersauna,Struma+Iodine 10 Jahre – ButtechnoSpekki Webu Elvin Brandhi u.a.,Clubnacht,2,Buttechno | Spekki Webu | Elvin Brandhi | Battle-Ax | Jung An Tagen | In My Talons | Alpha Tracks | Schirin | Isabella Forciniti | Gischt | Tintin Patrone | Nachtbote | DJ Jackhammer | DJ Warzone | Flower Crime,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS,https//skug.at/strumaiodine-das-programm-zur-10-jahres-feier-steht/,Struma+Iodine
2023-02-06,Celeste,Monday Improvisers Session,Konzertreihe,6,Katharina Gartner | Johanna Forster | Elisabeth Flunger,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://www.facebook.com/profile.php?id=100063885210456,Monday Improvisers Session
2024-01-15,Celeste,Monday Improvisers Session,Konzertreihe,6,Didi Kern | Simon Rose | Marcin Morga,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://www.facebook.com/profile.php?id=100063885210456,Monday Improvisers Session
2025-01-27,Celeste,Monday Improvisers Session,Konzertreihe,6,Thomas Berghammer | Isabella Forciniti | Jakob Gnigler | Martin Brandlmayr,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://www.facebook.com/profile.php?id=100063885210456,Monday Improvisers Session
2026-04-27,Celeste,Monday Improvisers Session,Konzertreihe,6,Antti Virtaranta | Sara Zlanabitnig | Didi Kern,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://www.facebook.com/profile.php?id=100063885210456,Monday Improvisers Session
2023-02-24,Château Rouge,smallforms,Konzertreihe,8,Barbara Togander | Camila Nebbia | Joakim Rainer Petersen | Julia Just,smallforms,small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen,MA7 | BMKöS,http://www.smallforms.org,Smallforms
2024-06-15,Château Rouge,smallforms,Konzertreihe,8,Tyler Lewis | Simon Rose,smallforms,small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen,MA7 | BMKöS,http://www.smallforms.org,Smallforms
2025-04-26,Château Rouge,smallforms,Konzertreihe,8,Carola Zelaschi | Pete Prison IV | Alex Kranabetter,smallforms,small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen,MA7,http://www.smallforms.org,Smallforms
2026-03-14,Château Rouge,smallforms,Konzertreihe,8,Tin Man | Karo Preuschl | Chris Janka,smallforms,small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen,MA7,http://www.smallforms.org,Smallforms
2023-11-22,Theater am Werk,Der Blöde Dritte Mittwoch,Konzertreihe,1,Kasho Chualan | Kaspar Kuoppamaki,DerBlödeDritteMittwoch,Verein für Kunstvermischung,MA7 | BMKöS,https://www.schalltaucherin.com/archiv,Der Blöde Dritte Mittwoch
2024-02-21,Theater am Werk,Der Blöde Dritte Mittwoch #157,Konzertreihe,1,Christina Ruf | Eric Arn,DerBlödeDritteMittwoch,Verein für Kunstvermischung,MA7 | BMKöS,https://www.schalltaucherin.com/archiv,Der Blöde Dritte Mittwoch
2025-05-21,Theater am Werk,Der Blöde Dritte Mittwoch #148,Konzertreihe,1,Lithium | DEAE | Anna Vasof | kit cut | Verena Repar,DerBlödeDritteMittwoch,Verein für Kunstvermischung,MA7,https://bloedermittwoch.klingt.org/chronik/,Der Blöde Dritte Mittwoch
2026-04-21,echoraum,Der Blöde Dritte Mittwoch,Konzertreihe,15,Sylvia Bruckner | Franz Hautzinger | Oleg Soulimenko | Jonah Parzen-Johnson | Lau Nau,DerBlödeDritteMittwoch,Verein für Kunstvermischung,MA7,https://bloedermittwoch.klingt.org/chronik/,Der Blöde Dritte Mittwoch
2023-06-02,Studio Eberhard,On the Couch #83 – Eberhard/Friedl,Konzertreihe,3,Alexander J. Eberhard | Reinhold Friedl,Alexander J. Eberhard,On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft,MA7,https://eberhard.klingt.org/projekte/on-the-couch/,On the Couch
2024-05-02,Studio Eberhard,On the Couch #95 – Eberhard/Fheodoroff,Konzertreihe,3,Isabelle Eberhard | Daniela Fheodoroff,Alexander J. Eberhard,On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft,MA7,https://eberhard.klingt.org/projekte/on-the-couch/,On the Couch
2025-09-20,Studio Eberhard,On the Couch #109 – Eberhard/Gross/Herbert,Konzertreihe,3,Alexander J. Eberhard | Igor Gross | Peter Herbert,Alexander J. Eberhard,On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft,MA7,https://eberhard.klingt.org/projekte/on-the-couch/,On the Couch
2026-04-22,Studio Eberhard,On the Couch #116 – Paul/Lefèbvre,Konzertreihe,3,Héloise Lefèbvre | Susanne Paul,Alexander J. Eberhard,On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft,MA7,https://eberhard.klingt.org/projekte/on-the-couch/,On the Couch
2023-05-09,Studio Molière,SUENA Festival 2023 – PLURAL – Inauguración / Schallfeld Ensemble,Festival,9,Schallfeld Ensemble,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2023-05-10,Studio Molière,SUENA Festival 2023 – andother stage: Assemble I want to sing,Festival,9,andother stage,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2023-05-11,Studio Molière,SUENA Festival 2023 – SIGMA Project Quartet,Festival,9,SIGMA Project Quartet,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2023-05-12,REAKTOR,SUENA Festival 2023 – Platypus Ensemble,Festival,17,Platypus Ensemble,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2024-04-25,Studio Molière,SUENA Festival 2024 – PHACE: Tratado de lo inasibl,Festival,9,PHACE,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2024-04-26,Alte Schmiede,SUENA Festival 2024 – Myriam Garcia Fidalgo: Emptying the body,Festival,1,Myriam Garcia Fidalgo,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2024-04-27,Future Art Lab mdw,SUENA Festival 2024 – Concierto MDW + José Luis Besada,Festival,3,José Luis Besada,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2024-04-28,Kaisersaal,SUENA Festival 2024 – ARGO: Tan ahora allí,Festival,7,ARGO,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2024-05-02,echoraum,SUENA Festival 2024 – Álvaro Collao León: Límite,Festival,15,Álvaro Collao León,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2024-05-03,Studio Molière,SUENA Festival 2024 – Trio Feedback / Dimitrios Polisoidis: Spherae,Festival,9,Trio Feedback | Dimitrios Polisoidis,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2025-05-07,REAKTOR,SUENA Festival 2025 – Musikfabrik: Blechblasparty,Festival,17,Musikfabrik,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2025-05-09,echoraum,SUENA Festival 2025 – PPCM Instrumental: Erinnerungsspuren,Festival,15,PPCM Instrumental,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2025-05-10,Sociedad Austro-Portuguesa,SUENA Festival 2025 – Juan Moreda + Sur Editores,Festival,8,Juan Moreda,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2025-05-11,Future Art Lab mdw,SUENA Festival 2025 – MDW Ensemble Konstellationen: Materia oscura,Festival,3,MDW Ensemble Konstellationen,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2025-05-11,St. Ruprecht,SUENA Festival 2025 – Between Feathers: more sweetly forgot,Festival,1,Between Feathers,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2025-05-12,Kaisersaal,SUENA Festival 2025 – Lab51: GOT LOST,Festival,7,Lab51,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2025-05-13,REAKTOR,SUENA Festival 2025 – Cantando Admont: War dies die Erinnerung?,Festival,17,Cantando Admont,SUENA Festival,SUENA - Verein zur Förderung und Verbreitung neuer Musik,MA7 | BMKöS | SKE,https://www.suena.at,SUENA Festival
2022-05-21,rhiz,Augend&Addend,Clubnacht,8,MYEN | Andras_2020 | Lukas Becker | sch4tz1 | KoiFin | MARAws,AUGEND&ADDEND,AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer Klangräume und queerer Clubkultur,MA7,https://www.instagram.com/augendaddend,Augend&Addend
2023-11-23,Venster99,Augend&Addend x Struma+Iodine,Konzert,16,S280F | Florence Sinclair | Rắn Cạp Đuôi | Rent,AUGEND&ADDEND | Struma+Iodine,AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer Klangräume und queerer Clubkultur,MA7,https://www.instagram.com/augendaddend,Augend&Addend | Struma+Iodine
2024-04-24,FLUCC,Augend&Addend – Equation Echo,Clubnacht,2,Odete | Ãssia Ghendir | Lou Vives | Yasmina Haddad | Home | Winonah | Bogland | Maraws | Oblate,AUGEND&ADDEND,AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer Klangräume und queerer Clubkultur,MA7,https://www.instagram.com/augendaddend,Augend&Addend
2025-12-05,das weisse haus,Augend&Addend x Spice Mixers – James Massiah,Konzert | Club,1,James Massiah | XEXA | Tonica Hunter | মm. | Mara Never | Mursal,AUGEND&ADDEND | Spice Mixers,AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer Klangräume und queerer Clubkultur,MA7,https://www.instagram.com/augendaddend,Augend&Addend | Spice Mixers
2022-06-18,Vekks,Kinky Muppet @ Vekks,Konzert,12,Katrin Plavčak | Nicholas Hoffmann | Oliver Stotz,Vekks,Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS),MA8,https://www.vekks.com/aktuell,Vekks
2023-11-07,Vekks,Rosilio/do Mar/Gnigler/Duit,Konzert,12,Maria do Mar | Jakob Gnigler | Yoram Rosilio | Valentin Duit,Vekks,Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS),MA9,https://klingt.org,Vekks
2024-10-16,Vekks,Berghammer Babikov Moser,Konzert,12,Thomas Berghammer | Alexander Babikov | Moser,Vekks,Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS),MA10,https://klingt.org,Vekks
2025-01-15,Vekks,Amorphq at Vekks,Konzert,12,PhoLo0 | Benjamin Whitehill | Moo17 | .pK,amorphq | Vekks,Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS),MA7 (Musikbeirat 2026),https://www.vekks.com/aktuell,Vekks
2026-01-04,Vekks,Tetrao Tetrix – 3 Solos,Konzert,12,Gaudenz Badrutt | Jean-Luc Guionnet | Frantz Loriot,Vekks,Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS),MA7 (Musikbeirat 2026),https://www.vekks.com/aktuell,Tetrao Tetrix
2026-04-25,Vekks,Jarret / Johansson / von Martens / David Kovacs,Konzert,12,Jarret | Johansson | von Martens | David Kovacs,Vekks,Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS),MA7 (Musikbeirat 2026),https://www.vekks.com/aktuell,Vekks
2025-06-06,FLUCC,VENTIL RECORDS TURNS 10!,Konzert,2,schtum (Robert Pockfuß | Manu Mayr) | eaeres (Karolina Preuschl | Ursula Winterauer | Katrin Euller | Leon Leder) | Kasho Chualan | Didi Kern | Alex Kranabetter | Peter Kutin,Ventil Records,"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel: Ventil",MA7,schalltaucherin.com,
2025-05-24,Otto Wagner Areal,HYPERREALITY Day 2,Festival,14,Moin! (Joe Andrews | Valentina Magaletti | Tom Halstead) | Rojin Sharafi | Valentina Magaletti,Hyperreality,SISTERS - Verein für queer feministische Kunst und Kultur,MA7,schalltaucherin.com,HYPERREALITY
2025-05-22,Porgy & Bess Jazz& Music Club,königlollipop|audiobomber,Konzert,1,koeniglollipop (Lukas König | Leo Riegler) | Audiobomber (Alex Jöchtl),Porgy & Bess,Jazz & Musicclub Porgy & Bess,MA7 | BMKöS,schalltaucherin.com,Porgy & Bess
2025-05-15,Kulturcafé Max,Tape Moon,Konzert,2,Tape Moon (Michael Naphegyi | Philipp Wohofsky | Joachim Huber | Michael Blassing),SHIZZLE,SHIZZLE - Kunst- und Kulturverein,MA7 | BMKöS | Bezirk Hernals (17. Bezirk),schalltaucherin.com,
2025-05-06,FLUCC,Enigmatic Serenades #9,Konzert,2,viz (Réka Csiszér) | racine (Julien Racine),Sandkasten Syndikat | flucc,Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären künstlerischen Vernetzung und Kulturvermittlung,MA7 | SKE,schalltaucherin.com,Enigmatic Serenades
2025-03-04,Porgy & Bess Jazz& Music Club,Mash,Konzert,1,Mash (Mahan Mirarab | Vincent Pongracz | András Dés),Porgy & Bess,Jazz & Musicclub Porgy & Bess,MA7 | BMKöS,schalltaucherin.com,Porgy & Bess
2025-01-09,Loop,Groove Club,Konzert,8,Manu Mayr | Yvonne Moriel,West Belt United,[nicht dokumentiert],MA7,schalltaucherin.com,Groove Club
2025-01-08,rhiz,synesthetic wednesday,Konzert,8,other mother (Judith Schwarz | Arthur Fussy | Jul Dillier) | Judith Schwarz | Yvonne Moriel | Alois Eberl,Vincent Pongracz | Yvonne Moriel,Vincent Pongracz,MA7,schalltaucherin.com,Synesthetic Wednesday
2024-12-16,brut,VIO 2024/20 Years,Konzert,20,Vienna Improvisers Orchestra,brut,[nicht dokumentiert],MA7,schalltaucherin.com,
2024-11-20,rhiz,synesthetic wednesday,Konzert,8,Andreas Lettner | Georg Vogel | Julian Sartorius | Yvonne Moriel :: Sweetlife (w/ Stephanie Weninger | Raphael Vorraber | Tobias Meissl),Vincent Pongracz | Yvonne Moriel | rhiz,Vincent Pongracz,MA7,schalltaucherin.com,Synesthetic Wednesday
2024-11-13,Das WERK,TUMULTTOTAL,Konzert,9,Anna Tsombanis | Daniel Bierdümpfl | Mark Holub | Oliver Biedermann | Avin Ahmadi | Victoria Kirilova | mel.e (Judith Ferstl | Judith Schwarz | Viola Hammer),TUMULTTOTAL,Regina Fischer,MA7,schalltaucherin.com,TUMULTTOTAL
2024-09-21,Szene Wien,20 Jahre Jazzwerkstatt Wien,Festival,3,nebulift (Mona Matbou Riahi | Dorian Concept | Manu Mayr | Lou Zon) | Studio Dan x Karo Preuschl x Bernhard Breuer x Martin Siewert,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7,schalltaucherin.com,20 Jahre JazzWerkstatt Wien
2024-09-18,Theater am Werk / Kabelwerk,20 Jahre Jazzwerkstatt Wien,Festival,2,Kimyan Law | Ludwig Wandinger | Stephanie Weninger quartet (Stephanie Weninger | Martin Eberle | David Dolliner | Michael Blassnig),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7,schalltaucherin.com,20 Jahre JazzWerkstatt Wien
2024-09-14,Westbahnstudios,unsafe+sounds,Festival,7,Evicshen x Mariam Rezaei | Yuko Araki | Morning Seance (Simone Borghi),Unsafe+Sounds,UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen,MA7 | SKE,schalltaucherin.com,Unsafe+Sounds
2024-08-27,CENTRAL GARDEN,HAUTZINGER/SCHNEIDEWIND/PONGRÀCZ,Konzert,2,Hautzinger | Pongracz | Schneidewind | König,Vincent Pongracz,Vincent Pongracz,MA7,https://www.vincentpongracz.com/,
2024-06-28,CENTRAL GARDEN,Summer Meeting 1,Konzert,2,Hautzinger | Pongracz | Schneidewind | Preiss,Central Garden,Central Garden,MA7,schalltaucherin.com,
2024-06-26,FLUCC,NAWA festival,Festival,2,huuum (Rojin Sharafi | Omid Darvish | Alvaro Collao León) | Parasang (Mona Matbou Riahi | Pouya Ehsaei),Mahan Mirarab,FAM Kulturverein,MA7 | BMKöS | SKE | AKM,schalltaucherin.com,NAWA Festival
2024-06-13,rhiz,innode,Konzert,8,innode (Stefan Nemeth | Bernhard Breuer),rhiz,Rantasa + Rantasa GmbH,MA7 | BMKöS,schalltaucherin.com,innode
