Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Fördergegenstand — Anmerkungen	Programm	Kurzname	Verein_key
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären\nkünstlerischen Vernetzung und Kulturvermittlung	1740449628	17	MA7	Beschluss	2026	5000.0	Transparenzportal IFG 2026	ausbezahlt: Förderung von Einzelnvorhaben im Bereich der Kulturinitiativen  		Sandkasten Syndikat	sandkasten syndikat - verein zur transkulturellen und interdisziplinären\nkünstlerischen vernetzung und kulturvermittlung
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2025	100000.0	Transparenzportal IFG 2025	ausbezahlt: Förderung von Einzelnvorhaben im Bereich der Musik		Studio Dan	studio dan - verein für neue musik
ExMachinisMusicae: Verein zur Förderung von transdisziplinärer, transkultureller\nund transmedialer Kunst	1961147729	14	MA7	Beschluss	2024	3500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	EMM an der Hohen Wand	ExMachinisMusicae	exmachinismusicae: verein zur förderung von transdisziplinärer, transkultureller\nund transmedialer kunst
A M B I T U S – Gruppe für neue Musik	228515470	17	MA7	Beschluss	2024	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Konzerte mit zeitgenössischer Musik		ambitus - gruppe für neue musik
Althangrund - Verein für Kultur-, Wohn- und Sozialraum für Alle, Kurzform Althangrund für alle!	1170816400	9	MA7	Beschluss	2024	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	This is our Dancefloor		althangrund - verein für kultur-, wohn- und sozialraum für alle, kurzform:\nalthangrund für alle!
Bestand - Verein zur Vermittlung und Förderung von Musik, Kunst und Kultur	1579908762	8	MA7	Beschluss	2024	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Made Up Realities		bestand - verein zur vermittlung und förderung von musik, kunst und kultur
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	MA7	Beschluss	2024	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	SOUNDSPACE - Die Musiksparte im Jahresprogramm von ECHOLOT		echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	MA7	Beschluss	2024	48000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Kulturinitiativen			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	MA7	Beschluss	2023	44000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Kulturinitiativen			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	MA7	Beschluss	2022	30000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Stadtteilkultur und Interkulturalität	"ECHOLOT – Veranstaltungsreihe – 1. Halbjahr | ECHOLOT – Veranstaltungsreihe – 2. Halbjahr
"		echolot - kulturverein für transdisziplinäre kunst & artistic research
