Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen	Programm	Kurzname	Verein_key
Reboot Jazz - Verein zur Förderung der Weiterentwicklung des Jazz	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Beschluss	2024	70000.0	Förderbericht der Stadt Wien 2024	OPEN JAZZ VIENNA. Bezirk nicht dokumentiert - eventos en bez. 9 y 19			reboot jazz - verein zur förderung der weiterentwicklung des jazz
SAMA Kollektiv - Kunst & Kulturverein	1944532794	19	MA7	Beschluss	2024	4000.0	Förderbericht der Stadt Wien 2024	sama recordings pres. s c h w e b e n 2024	sama recordings		sama kollektiv - kunst & kulturverein
tonWerk - Forum für Neue Musik	708944665	14	MA7	Beschluss	2024	6000.0	Förderbericht der Stadt Wien 2024	ton-netz-werk	ton-netz-werk		tonwerk - forum für neue musik
Setzkasten, Verein und Werkstatt zur Förderung intermedialer Kunst	314108954	17	MA7	Beschluss	2023	25000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung 22.000 + Erhöhung 3.000. Veranstaltungsreihe		Setzkasten Wien	setzkasten, verein und werkstatt zur förderung intermedialer kunst
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Beschluss	2023	8000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Multichannel Series. OPEN JAZZ VIENNA - Sitz außerhalb Wien		Moozak	moozak - verein für experimentelle musik
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2023	85000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: GF 75.000 + Erhöhung 10.000. Projekt: HYPERREALITY Festival für Club Culture 2023			sisters - verein für queer feministische kunst und kultur
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	[nicht dokumentiert]	16	MA7	Beschluss	2023	10000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: PARKEN 2023	PARKEN	PARKEN	parken, verein zur förderung experimenteller musik im öffentlichem raum
Alexander Eberhard	[Einzelperson]	3	MA7	Beschluss	2023	7000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Förderung an Einzelperson. Projekt: On the Couch - Studiokonzerte 2023			alexander eberhard
minciospace - Verein zur Förderung von künstlerischer Entwicklung unter besonderer Berücksichtigung gesellschaftsrelevanter Themen	[nicht dokumentiert]	15	MA7	Beschluss	2023	5000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: The Dirt of Easter Island 2023	The Dirt of Easter Island	Minciospace	minciospace - verein zur förderung von künstlerischer entwicklung unter besonderer berücksichtigung gesellschaftsrelevanter themen
Althangrund - Verein für Kultur-, Wohn- und Sozialraum für Alle, Kurzform:\nAlthangrund für alle!	1170816400	9	MA7	Beschluss	2023	5000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Venue: Kulturzentrum 4lthangrund. Projekt: This is our dancefloor! 2023			althangrund - verein für kultur-, wohn- und sozialraum für alle, kurzform:\nalthangrund für alle!
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	MA7	Beschluss	2023	20000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: BLACK PAGE ORCHESTRA KONZERTE 2023	Black Page Orchestra Konzerte		moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
Klang.Kunst.Etage - Verein für experimentelle Musik und Kunstprojekte	539978143	2	MA7	Beschluss	2023	24000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: 4.000 (Erhöhung) + 20.000 (NowHere & NoWhere). Projekt: Vienna Improvisers Orchestra 2023			klang.kunst.etage - verein für experimentelle musik und kunstprojekte
Kulturverein WERK	140201457	9	MA7	Beschluss	2023	15000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: 10.000 (1. HJ) + 5.000 (2. HJ). Venue: das WERK Wien			kulturverein werk
Hjalmar Al-Serori	Einzelnperson	5	MA7	Beschluss	2023	23000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: 10.000 (Sommersaison) + 13.000 (10+25 Jahre celeste). Förderung an Einzelperson. Venue: celeste			hjalmar al-serori
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	1768215396	10	MA7	Beschluss	2023	7000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Dishes 2023	Dishes		rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
snim - spontanes Netzwerk für improvisierte Musik	461480763	15	MA7	Beschluss	2023	4000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: snImpro + snim feat. Dilate Ensemble 2023	snImpro + snim feat. Dilate Ensemble		snim - spontanes netzwerk für improvisierte musik
