datum;event_name;venue
2023-01-16;monday improvisers session;celeste
2023-01-17;19h55-24h kunstradio's art's birthday 1 00...;echoraeume
2023-01-18;19h30 der bloede dritte mittwoch #124;ateliertheater
2023-01-19;"""on the couch"":  dieb13, Gross, Eberhard";studio eberhard
2023-01-20;Duo Boris Hauf / Martin Siewert;alte schmiede
2023-01-23;monday improvisers session;celeste
2023-01-30;monday improvisers session;celeste
2023-02-06;monday improvisers session;celeste
2023-02-13;monday improvisers session;celeste
2023-02-15;19h30 der bloede dritte mittwoch #125;ateliertheater
2023-02-16;on the couch #79 - Nico Couck & Thomas R. ...;studio eberhard
2023-02-16;FMF: Silvia Tarozzi & Deobrah Walker;celeste
2023-02-20;monday improvisers session;celeste
2023-02-22;[exhibition] BRDN;rhizom
2023-02-23;Bordone Ensemble;rhizom
2023-02-24;smallforms;chateau rouge
2023-02-27;monday improvisers session;celeste
2023-03-02;on the couch #80 - chesterfield (castello/...;studio eberhard
2023-03-02;FMF: Susana Santos Silva & Christof Kurzmann;celeste
2023-03-03;Klement / Profanter / Wong;echoraum
2023-03-04;Nadeshda;rhizom
2023-03-05;KNH-Sonntagskind #31 | Marta Del Grandi + ...;echoraeume fs2
2023-03-08;ACOUSMONIUM 2023 International festival of...;echoraum
2023-03-09;ACOUSMONIUM 2023 International festival of...;echoraum
2023-03-10;ACOUSMONIUM 2023 International festival of...;echoraum
2023-03-13;monday improvisers session;celeste
2023-03-15;19h30 der bloede dritte mittwoch #126;echoraum
2023-03-16;FMF: MRM Trio;celeste
2023-03-20;monday improvisers session;celeste
2023-03-23;Schnitzel ’22;echoraum
2023-03-24;smallforms;chateau rouge
2023-03-26;velak #124;chateau rouge
2023-03-27;monday improvisers session;celeste
2023-03-28;Jan Machacek: blind spot light;wuk
2023-03-29;Jan Machacek: blind spot light;wuk
2023-03-29;vis-à-vis klaus filip  & vinzenz schwab;alte schmiede
2023-03-30;Jan Machacek: blind spot light;wuk
2023-03-31;Jan Machacek: blind spot light;wuk
2023-04-03;monday improvisers session;celeste
2023-04-06;FMF: Trio John Butcher / dieb13 / Flo Stof...;celeste
2023-04-10;monday improvisers session;celeste
2023-04-15;The piano in our lives, ein Dialog;reaktor
2023-04-17;monday improvisers session;celeste
2023-04-17;KNH-Darkroom #13 | Konzert | mit Matthias ...;echoraeume fs2
2023-04-18;Buch-Club 2 | Lesung | Margit Mössmer + E...;echoraeume fs2
2023-04-18;19h30 der bloede dritte mittwoch #126 rest...;echoraeume
2023-04-19;20h30 der bloede dritte mittwoch #127;flucc
2023-04-20;velak gala #125;chateau rouge
2023-04-20;FMF: Szilárd Mezei Quartet (RS);celeste
2023-04-21;duo Schmoliner/Guionnet - duo Klement/Siewert;echoraum
2023-04-24;monday improvisers session;celeste
2023-04-25;moozak multichannel series #03 / Elak Conc...;klangtheater
2023-04-26;Milla/Cajado/Takara · Cossio/Myburgh;echoraum
2023-04-27;on the couch #81 - strings&noise;studio eberhard
2023-04-28;smallforms;chateau rouge
2023-04-30;KNH-Sonntagskind #32 | First Gig Never Hap...;echoraeume fs2
2023-05-01;monday improvisers session;celeste
2023-05-02;Castello/Voutchkova & XIPE;echoraum
2023-05-04;on the couch #82 - Mitterer/Eberhard/Gross;studio eberhard
2023-05-05;STEEL GIRLS;alte schmiede
2023-05-05;Interrupted system call ++ Gnigler/Schneider;rhiz
2023-05-06;snim feat. Dilate Ensemble – an audiovis...;echoraum
2023-05-08;monday improvisers session;celeste
2023-05-09;Vernissage Katharina Ernst: So Many Ways �...;echoraum
2023-05-11;FMF: CUT Trio Feichtmair / Resnik / Kušar...;celeste
2023-05-11;Musik unterm Mandelbaum #3;echoraum
2023-05-12;smallforms;chateau rouge
2023-05-15;monday improvisers session;celeste
2023-05-16;Lisa Spalt & die Ex-Gewichtsheberin: Auf d...;echoraum
2023-05-17;20h30 der bloede dritte mittwoch #128;flucc
2023-05-18;Salon skug;rhiz
2023-05-22;monday improvisers session;celeste
2023-05-23;Castello new release presentation;klangtheater
2023-05-24;jerome noetinger & dieb13: |  billy roisz;westbahnstudios
2023-05-25;FMF: Trio Métamaât - Bazelaire / Romary ...;celeste
2023-05-27;Huber/Winter/Hvizdalek: Open Roads;echoraum
2023-05-29;monday improvisers session;celeste
2023-05-30;XX Y X: Maria Peters & Vera Sebert;echoraum
2023-05-31;20h Studio Dan – Studio Session #7;westbahnstudios
2023-06-02;angry birds;echoraum
2023-06-02;smallforms;chateau rouge
2023-06-02;on the couch #83 - Alexander J. Eberhard/R...;studio eberhard
2023-06-03;Palme/Huang/Fairbairn · Thomas Berghammer;echoraum
2023-06-05;monday improvisers session;celeste
2023-06-07;Sophia Goidinger-Koch · strings&noise;echoraum
2023-06-12;monday improvisers session;celeste
2023-06-13;Nachhall #6 im Frau*feld: Musik & Stille;echoraum
2023-06-15;fmf: Quartet Dörner/Delius/Borghini/Grip;celeste
2023-06-15;poème électronique #50;echoraum
2023-06-15;on the couch #84 - Bogner/Eberhard/Gross;studio eberhard
2023-06-16;poème électronique #51;echoraum
2023-06-17;Duo Hofmaninger/Schwarz: Sound Collector;echoraum
2023-06-19;monday improvisers session;celeste
2023-06-20;XX Y X: Katharina Ernst – le temps;echoraum
2023-06-22;Between Feathers Vol. 1;echoraum
2023-06-22;WHY is das witzig?;flucc
2023-06-24;we:create Abschlusskonzert im Rahmen des w...;echoraum
2023-06-24;on the couch #85 - Berndt Thurner/Petra Ac...;studio eberhard
2023-06-24;KNH-Shorts #14 | Shizzle Short Film Festival;echoraeume fs2
2023-06-24;beauchamp*geissler, bentley anderson et.al...;vekks
2023-06-24;19h rausch _ abstand;echoraeume
2023-06-25;19h Studio Dan - Studio Session #8;westbahnstudios
2023-06-25;KNH-Sonntagskind #33 | Homonym + Älskling...;echoraeume fs2
2023-06-26;monday improvisers session;celeste
2023-06-28;Xenofox [Olaf Rupp & Rudi Fischerlehner];vekks
2023-07-03;monday improvisers session;celeste
2023-07-07;smallforms;chateau rouge
2023-07-10;monday improvisers session;celeste
2023-08-21;monday improvisers session;celeste
2023-08-28;monday improvisers session;celeste
2023-08-29;ABGESAGT! - La Paloma & Other Stuff;allerheiligenpark, 1200
2023-09-04;monday improvisers session;celeste
2023-09-11;monday improvisers session;celeste
2023-09-12;XX Y X: Karo Preuschl: Fragments · season...;echoraum
2023-09-16;Inspiration Nono: Konzert und Fest aus Anl...;echoraum
2023-09-18;monday improvisers session;celeste
2023-09-21;so sner, billy roisz+laszlo lenkes;echoraum
2023-09-21;on the couch #86 - Eletric Indigo;studio eberhard
2023-09-22;smallforms;chateau rouge
2023-09-22;on the couch #87 - Baumgartner/Eberhard/Gross;studio eberhard
2023-09-23;KNH-Shorts #15 | Shizzle Short Film Festival;echoraeume fs2
2023-09-23;Rudi Fischerlehner · Ilia Belorukov;echoraum
2023-09-23;PLF Album release Show;rhiz
2023-09-24;KNH-Sonntagskind #34 | Sterzinger + Trio A...;echoraeume fs2
2023-09-25;monday improvisers session;celeste
2023-09-26;Nachhall #7 im Frau*feld: Musik & Technik;echoraum
2023-09-30;Christian Schröder · Kuoppamäki & Herbst;echoraum
2023-10-02;monday improvisers session;celeste
2023-10-04;Loibner/Niggli;echoraum
2023-10-05;fmf: Pink Forest: Cosseron - Hautzinger - ...;celeste
2023-10-06;das kleine 3×2: Jorge Espinal × Bernhard...;echoraum
2023-10-09;TWIXT, Negativland;westbahnstudios
2023-10-09;monday improvisers session;celeste
2023-10-12;shut up and listen!;echoraum
2023-10-13;shut up and listen!;echoraum
2023-10-14;shut up and listen!;echoraum
2023-10-16;monday improvisers session;celeste
2023-10-17;Feuchter/Pili · Mercury;echoraum
2023-10-18;Musik unterm Mandelbaum #4;echoraum
2023-10-18;20h der bloede dritte mittwoch #131;theater am werk / petersplatz
2023-10-19;fmf: Trio Guionnet - Murayama - Filip;celeste
2023-10-20;smallforms;chateau rouge
2023-10-23;monday improvisers session;celeste
2023-10-25;suisse konklave;kunstraum ewigkeitsgasse
2023-10-26;re_composed 2023;echoraum
2023-10-27;re_composed 2023;echoraum
2023-10-27;DE/SEMBLE;reaktor
2023-10-28;re_composed 2023;echoraum
2023-10-30;monday improvisers session;celeste
2023-10-30;stefan geissler feat. philipp wesener @blu...;café stadtbahn wien
2023-11-01;Ein Fest für Werner Korn;echoraum
2023-11-05;Bitchin Bajas;rhiz
2023-11-06;monday improvisers session;celeste
2023-11-07;XX Y X: Christina Ruf · Anna K Laggner/F...;echoraum
2023-11-07;Rosilio/do Mar/Gnigler/Duit;vekks
2023-11-08;Sandy Ewen (NY, CDN) & Eric Arn, Yedda Chu...;celeste
2023-11-09;beatnik manifesto;reaktor
2023-11-09;Werckmeister · Knurrhahn (moozak 12″rel...;echoraum
2023-11-10;Portrait Günther Rabl I;klangtheater
2023-11-11;smallforms;chateau rouge
2023-11-11;Portrait Günther Rabl II;klangtheater
2023-11-13;monday improvisers session;celeste
2023-11-14;Sun Dog · Dejana Sekulić;echoraum
2023-11-16;fmf: McPhee / Gartmayer / Edwards / Portugal;celeste
2023-11-16;on the couch #88 - Mira & Sara Gregorič;studio eberhard
2023-11-20;monday improvisers session;celeste
2023-11-22;der bloede dritte mittwoch #132;theater am werk / petersplatz
2023-11-23;RADIAN (brandlmayr / norman / siewert) / J...;das werk
2023-11-24;oker · Fussy/Schwarz: Beyond the Beat;echoraum
2023-11-26;the klingt collective - estos patos locos;odeon
2023-11-27;monday improvisers session;celeste
2023-11-30;fmf: Trio Zarić - Harnik - Barrett;celeste
2023-11-30;on the couch #89 - Duthoit/Eberhard/noid-T...;studio eberhard
2023-12-01;Vernissage Inexhaustible Editions: SOUNDIN...;echoraum
2023-12-02;Hörraum #17 Laszlo Juhasz (Inexhaustible ...;echoraum
2023-12-03;NAMES ENSEMBLE + THE ANSWER IS NO;westbahnstudios
2023-12-04;monday improvisers session;celeste
