datum;event_name;venue
2022-09-24;TOMAŽIN / KUTIN / GROM / SCHELLANDER;klub gromka
2022-09-25;the elks @ neue musik st.ruprecht;st. ruprecht (neue musik in)
2022-09-25;KNH-Sonntagskind #27: Storm Lily;echoraeume fs2
2022-09-26;monday improvisers session;celeste
2022-09-27;Zimt (extended);reaktor
2022-09-27;Vernissage: HALL (Benjamin Tomasi & Samuel...;echoraum
2022-09-27;Ausgang in Fahrtrichtung – Eine kleine W...;porgy&bess
2022-09-27;We had a lot of bells;schauspielhaus
2022-09-27;Impromonday festival;club mochvara
2022-09-28;Disquiet;echoraum
2022-09-28;We had a lot of bells;schauspielhaus
2022-09-28;Impromonday festival;club mochvara
2022-09-28;[unsafe+sounds] mattin, no bra, privat...;zacherlfabrik
2022-09-29;zimt;exploratorium
2022-09-29;KNUSP - Neue Musik St.Ruprecht;ruprechtskirche
2022-09-29;Impromonday festival;club mochvara
2022-09-29;Disquiet (Jernberg, Williamson, Brandlmayr...;jazzit
2022-09-30;finstergewaechs;schuberttheater
2022-09-30;Guitar concert by Šimanský und Niesner (...;vekks
2022-10-01;finstergewaechs;schuberttheater
2022-10-01;Yvonne Hofmeister, Richie Herbst & Harald ...;kulturkotter
2022-10-01;ingrid schmoliner, das fax mattinger;kuenstlerhaus
2022-10-01;on the couch #71 - Trio EIS;studio eberhard
2022-10-01;laszlo lenkes & billy roisz;kuda.org
2022-10-01;kgb + martin philadelphy;central garden
2022-10-01;red rooms / crowd founding;echoraeume
2022-10-01;IAM + Hidros 9;avant art festival
2022-10-01;alternating current 10;galerie wechselstrom
2022-10-02;finstergewaechs;schuberttheater
2022-10-03;monday improvisers session;celeste
2022-10-03;charhizma presents: Catalytic Sounds: Tort...;porgy&bess
2022-10-04;19-21h urbanize!;echoraeume
2022-10-05;We had a lot of bells;schauspielhaus
2022-10-05;beauchamp*geissler @superbar;traklhaus
2022-10-06;now sports;wakuum
2022-10-06;free music forum: Hautzinger & Duthoit & S...;celeste
2022-10-06;Finissage: HALL (Benjamin Tomasi & Samuel ...;echoraum
2022-10-06;We had a lot of bells;schauspielhaus
2022-10-06;19-21h urbanize!;echoraeume
2022-10-07;on the couch #72 - Ackermann/Meier;studio eberhard
2022-10-07;We had a lot of bells;schauspielhaus
2022-10-07;19-21h urbanize!;echoraeume
2022-10-07;stefan geissler + band (sg+b)/sebastian meyer;central garden
2022-10-07;KNH-Shorts #10: Olga Kosanović;echoraeume fs2
2022-10-08;Luna Alcalay: Gedenkkonzert & Ausstellung;echoraum
2022-10-08;We had a lot of bells;schauspielhaus
2022-10-08;10-18h urbanize!;echoraeume
2022-10-08;Eric Arn / Eyal Maoz(US) album release w/ ...;celeste
2022-10-09;Duthoit | Eberhard | noid;ruprechtskirche
2022-10-10;monday improvisers session;celeste
2022-10-10;Velak #122;???
2022-10-11;Nachhall #3;echoraum
2022-10-11;We had a lot of bells;schauspielhaus
2022-10-12;Bertoncini/Rombolà · Hvizdalek/Lercher;echoraum
2022-10-12;We had a lot of bells;schauspielhaus
2022-10-13;ENCORE! Ein Raum für Unica Zürn (Day 1);galerie5020
2022-10-14;ENCORE! Ein Raum für Unica Zürn (Day 2);galerie5020
2022-10-14;SOUND CITY DAYS KOŠICE 2022;sound days košice
2022-10-14;Richie Herbst & Gigi Gratt;jo's werkstatt
2022-10-14;ANIMA - HandMitAuge+JakobSchauer;friedrich-engels-platz
2022-10-15;Sagt man eigentlich noch Indianer?;theater im bahnhof
2022-10-15;ENCORE! Ein Raum für Unica Zürn (Day 3);galerie5020
2022-10-15;Richie Herbst & Gigi Gratt;ds17
2022-10-15;beauchamp*geissler;"arthotel ""blaue gans"""
2022-10-16;AiR - Neue Musik St.Ruprecht;ruprechtskirche
2022-10-16;Sagt man eigentlich noch Indianer?;theater im bahnhof
2022-10-16;Richie Herbst & Gigi Gratt;cafebar mona
2022-10-17;monday improvisers session;celeste
2022-10-17;Richie Herbst & Gigi Gratt;madame claude
2022-10-18;Richie Herbst & Gigi Gratt;široko cafe
2022-10-19;re_composed 2022 (Tag 1);echoraum
2022-10-19;19h30! DerBloedeDritteMittwoch#121;ateliertheater
2022-10-20;re_composed 2022 (Tag 2);echoraum
2022-10-20;jean-luc guionnet / seijiro murayama / kla...;artists
2022-10-21;re_composed 2022 (Tag 3);echoraum
2022-10-21;on the couch #73 - Hui Ye/ Alexander J. Eb...;studio eberhard
2022-10-21;20:30 Studio Dan @ IGNM Festival EInhundert;konzerthaus
2022-10-21;moozak multichannel series #02 / elak conc...;klangtheater
2022-10-21;jean-luc guionnet / seijiro murayama / kla...;cirkulacija 2 interdiscipli...
2022-10-22;re_composed 2022 (Tag 4);echoraum
2022-10-22;charhizma presents: catalytic sounds#7: Ke...;porgy&bess
2022-10-22;HUNGER;der goldene shit
2022-10-22;smallforms;chateau rouge
2022-10-23;KNH-Sonntagskind #28;echoraeume fs2
2022-10-24;KNH-Darkroom #11;echoraeume fs2
2022-10-24;monday improvisers session;celeste
2022-10-25;KNH-Stories #7;echoraeume fs2
2022-10-28;Vítková · Dahl · Matbou Riahi;echoraum
