Verein	Jahr	Betrag_EUR	Förderung_Bezirk	Projekttitel	Status	Quelle
Klangmanifeste - Verein für Klang-/Kunst-/Formen	2022	1000	15	Klangmanifeste 2022	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Klangmanifeste - Verein für Klang-/Kunst-/Formen	2024	1000	15	Klangmanifeste 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kulturverein WERK	2022	5000	9	KulturTerrasse WERK	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kulturverein WERK	2023	5000	9	KulturTerrasse WERK	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Semmelweisklinik	2022	10000	18	Kunst- und Kulturzentrum Semmelweisklinik	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Semmelweisklinik	2023	600	18	Freitags in der Klinik – Westafrika Spezial	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Semmelweisklinik	2024	10000	18	Kunst- und Kulturzentrum Semmelweisklinik	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Semmelweisklinik	2025	11000	[nicht dokumentiert]	Kunst- und Kulturzentrum Semmelweisklinik	Bestätigt	Transparenzportal IFG 2025
Kunst- und Kulturverein Semmelweisklinik	2026	11000	[nicht dokumentiert]	Kunst- und Kulturzentrum Semmelweisklinik	Bestätigt	Transparenzportal IFG 2026
minciospace Betriebs GmbH	2023	2000	15	"Ausstellung re:construct society | Jahresprogramm, Konzert „The Dirt of Easter Island – Werk für eine bessere Weltsicht
"	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
minciospace Betriebs GmbH	2024	7500	15	community echoes (3 Projekte)	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
minciospace Betriebs GmbH	2026	6000	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2026
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	2023	2000	3	Studiokonzerte 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	2024	2500	3	Studiokonzerte 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Rantasa + Rantasa GmbH	2023	2000	16	Islands of Resilience / URBION Gürtel 2050	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
SHIZZLE - Kunst- und Kulturverein	2022	8000	17	FORUM KULTURNETZ HERNALS	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
SHIZZLE - Kunst- und Kulturverein	2023	8000	17	FORUM KULTURNETZ HERNALS	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
SHIZZLE - Kunst- und Kulturverein	2024	8000	17	FORUM KULTURNETZ HERNALS	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären künstlerischen Vernetzung und Kulturvermittlung	2023	500	17	AUF WIEDER SEHEN	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären künstlerischen Vernetzung und Kulturvermittlung	2024	1300	18	PIRATE CULTURES	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
TONSPUR Kunstverein Wien	2022	2000	2	STREAMERS - a COVID Sculpture LIVE	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
TONSPUR Kunstverein Wien	2023	1000	4	Multimedia: Literarische Tonspur in der Ingeborg-Bachmann-Kuppel am Karlsplatz	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	2023	1500	16	Unsafe+Sounds Festival 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	2023	2000	3	Unsafe+Sounds Festival 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Verein für Kunstvermischung	2022	2000	7	Der blöde dritte Mittwoch im Ateliertheater	Bestätigt (Abgleich mit bestehendem Programm)	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Verein zur Förderung von Subkultur	2023	1000	14	Salon skug auf Rädern	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Verein zur Förderung von Subkultur	2024	1500	14	Salon skug auf Rädern	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und Klang-Kunst	2022	1600	16	CLUB RADIOKOJE 2022 „bodies of water“ /„#radioresistance“ | MEDIA AND SOUND POOL @kongreßbad	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
